[0.00 - 1.60]  Cashless Everywhere.
[1.60 - 6.08]  One of the biggest announcements of 2024 and it came out of nowhere.
[6.08 - 8.20]  It's getting everyone excited.
[8.20 - 11.92]  So, in this video, we will explain what Cashless Everywhere means,
[11.92 - 16.28]  how you can benefit from this and why there is one big problem
[16.28 - 20.32]  that could mean an existential crisis for the entire scheme.
[20.32 - 21.64]  So, let's get started.
[21.64 - 24.40]  First things first, what is Cashless Everywhere?
[24.40 - 27.52]  So, right now, if you have a health insurance policy
[27.52 - 29.20]  and you have to make a claim,
[29.24 - 30.40]  you can do it in two ways.
[30.40 - 32.40]  The first is called the Cashless Procedure.
[32.40 - 34.08]  This means you go to a hospital,
[34.08 - 37.32]  you give them your policy document or your policy number
[37.32 - 40.48]  and you tell them what problem you have and then you just chill.
[40.48 - 43.80]  Because in the backend, the hospital will take care of everything.
[43.80 - 45.28]  They will take your policy number,
[45.28 - 48.00]  intimate the insurance company about your admission
[48.00 - 51.56]  and they will make a claim on your behalf for the medical procedure.
[51.56 - 54.56]  The insurance company will look at the details of your procedure
[54.56 - 57.76]  and pre-approve a claim saying they'll pay the 2 lakhs,
[57.80 - 59.08]  for instance, Manlo,
[59.08 - 61.12]  that will cost to fix your broken shoulder,
[61.12 - 62.80]  if you have a broken shoulder, that is.
[62.80 - 65.52]  This way, you won't have to pay a single penny from your pocket.
[65.52 - 68.68]  You don't even have to worry about all the medical documents
[68.68 - 70.80]  and submit them to the insurance company
[70.80 - 72.68]  because the hospital will do it for you.
[72.68 - 75.08]  So, once again, the premise is very simple.
[75.08 - 77.32]  You can just chill, get your procedure done
[77.32 - 81.40]  and walk out of the hospital without worrying about documents
[81.40 - 84.04]  or paying a single penny out of pocket.
[84.04 - 85.20]  This is great.
[85.20 - 87.60]  However, most claims aren't processed this way.
[87.64 - 90.12]  They happen on a reimbursement basis,
[90.12 - 93.08]  which means first, you pay for your medical procedure,
[93.08 - 95.00]  broken shoulder, out of pocket,
[95.00 - 97.40]  then you submit all your medical bills and documents
[97.40 - 98.64]  to the insurance company
[98.64 - 100.96]  and then you wait for them to pay you back,
[100.96 - 102.76]  which can take a while, by the way.
[102.76 - 105.60]  So, clearly, out of reimbursement and cashless claim,
[105.60 - 107.36]  cashless claim is the way to go.
[107.36 - 110.72]  But the only problem is that you can only make cashless claims
[110.72 - 112.40]  in certain specific hospitals.
[112.40 - 115.64]  Every insurance company ties up with some hospitals
[115.64 - 117.40]  that they call network hospitals.
[117.44 - 119.40]  So, if you visit a network hospital,
[119.40 - 120.96]  you can make a cashless claim.
[120.96 - 124.24]  If not, then reimbursement is your only option.
[124.24 - 126.88]  Obviously, this has been a big problem for the industry.
[126.88 - 128.76]  And that's why a few weeks ago,
[128.76 - 130.48]  all the general insurance companies,
[130.48 - 132.48]  health insurance companies came together
[132.48 - 136.96]  and said that you can now make a cashless claim in any hospital
[136.96 - 141.76]  even if it's not included in the M-Panel list of cashless hospitals
[141.76 - 143.08]  for your insurer.
[143.08 - 145.16]  And this is cashless everywhere.
[145.16 - 146.64]  So, how will this work?
[146.68 - 147.52]  Very simple.
[147.52 - 151.04]  If it's a planned procedure, like say a cataract surgery or something,
[151.04 - 153.04]  you have to inform the insurance company
[153.04 - 154.80]  two days in advance before admission
[154.80 - 157.20]  that you will be making a cashless everywhere claim.
[157.20 - 158.92]  And if it's an emergency
[158.92 - 161.84]  and you don't have time to intimidate the insurance company,
[161.84 - 164.32]  then you can do it within two days of admission.
[164.32 - 166.52]  Once you intimidate the insurance company,
[166.52 - 169.20]  they will share an MOU, a Memorandum of Understanding,
